name,MS,lst_survived,n_killed,n_all_mut,is_problematic
T_O_NDS_semticfixed_q1.py,0.5311284046692607,"['wrong_1_529.py', 'wrong_1_566.py', 'wrong_1_323.py', 'wrong_1_099.py', 'wrong_1_252.py', 'wrong_1_352.py', 'wrong_1_218.py', 'wrong_1_190.py', 'wrong_1_273.py', 'wrong_1_306.py', 'wrong_1_165.py', 'wrong_1_479.py', 'wrong_1_496.py', 'wrong_1_442.py', 'wrong_1_367.py', 'wrong_1_196.py', 'wrong_1_060.py', 'wrong_1_475.py', 'wrong_1_266.py', 'wrong_1_079.py', 'wrong_1_460.py', 'wrong_1_075.py', 'wrong_1_132.py', 'wrong_1_240.py', 'wrong_1_022.py', 'wrong_1_307.py', 'wrong_1_264.py', 'wrong_1_511.py', 'wrong_1_564.py', 'wrong_1_003.py', 'wrong_1_545.py', 'wrong_1_547.py', 'wrong_1_131.py', 'wrong_1_408.py', 'wrong_1_431.py', 'wrong_1_101.py', 'wrong_1_466.py', 'wrong_1_094.py', 'wrong_1_497.py', 'wrong_1_074.py', 'wrong_1_145.py', 'wrong_1_263.py', 'wrong_1_154.py', 'wrong_1_353.py', 'wrong_1_416.py', 'wrong_1_405.py', 'wrong_1_494.py', 'wrong_1_181.py', 'wrong_1_217.py', 'wrong_1_314.py', 'wrong_1_342.py', 'wrong_1_541.py', 'wrong_1_167.py', 'wrong_1_061.py', 'wrong_1_328.py', 'wrong_1_236.py', 'wrong_1_474.py', 'wrong_1_180.py', 'wrong_1_077.py', 'wrong_1_219.py', 'wrong_1_019.py', 'wrong_1_193.py', 'wrong_1_158.py', 'wrong_1_085.py', 'wrong_1_309.py', 'wrong_1_069.py', 'wrong_1_567.py', 'wrong_1_471.py', 'wrong_1_142.py', 'wrong_1_315.py', 'wrong_1_478.py', 'wrong_1_265.py', 'wrong_1_179.py', 'wrong_1_526.py', 'wrong_1_216.py', 'wrong_1_556.py', 'wrong_1_407.py', 'wrong_1_241.py', 'wrong_1_299.py', 'wrong_1_523.py', 'wrong_1_082.py', 'wrong_1_477.py', 'wrong_1_473.py', 'wrong_1_278.py', 'wrong_1_422.py', 'wrong_1_066.py', 'wrong_1_441.py', 'wrong_1_159.py', 'wrong_1_322.py', 'wrong_1_300.py', 'wrong_1_153.py', 'wrong_1_514.py', 'wrong_1_491.py', 'wrong_1_344.py', 'wrong_1_151.py', 'wrong_1_253.py', 'wrong_1_078.py', 'wrong_1_411.py', 'wrong_1_498.py', 'wrong_1_468.py', 'wrong_1_549.py', 'wrong_1_443.py', 'wrong_1_550.py', 'wrong_1_543.py', 'wrong_1_463.py', 'wrong_1_553.py', 'wrong_1_510.py', 'wrong_1_104.py', 'wrong_1_071.py', 'wrong_1_424.py', 'wrong_1_552.py', 'wrong_1_146.py', 'wrong_1_080.py', 'wrong_1_228.py', 'wrong_1_487.py', 'wrong_1_070.py', 'wrong_1_312.py', 'wrong_1_096.py', 'wrong_1_313.py', 'wrong_1_403.py', 'wrong_1_083.py', 'wrong_1_542.py', 'wrong_1_116.py', 'wrong_1_272.py', 'wrong_1_113.py', 'wrong_1_018.py', 'wrong_1_269.py', 'wrong_1_270.py', 'wrong_1_476.py', 'wrong_1_548.py', 'wrong_1_144.py', 'wrong_1_539.py', 'wrong_1_268.py', 'wrong_1_258.py', 'wrong_1_002.py', 'wrong_1_020.py', 'wrong_1_324.py', 'wrong_1_271.py', 'wrong_1_325.py', 'wrong_1_335.py', 'wrong_1_551.py', 'wrong_1_095.py', 'wrong_1_417.py', 'wrong_1_346.py', 'wrong_1_195.py', 'wrong_1_084.py', 'wrong_1_530.py', 'wrong_1_326.py', 'wrong_1_421.py', 'wrong_1_305.py', 'wrong_1_137.py', 'wrong_1_544.py', 'wrong_1_143.py', 'wrong_1_440.py', 'wrong_1_515.py', 'wrong_1_054.py', 'wrong_1_469.py', 'wrong_1_414.py', 'wrong_1_102.py', 'wrong_1_157.py', 'wrong_1_057.py', 'wrong_1_257.py', 'wrong_1_327.py', 'wrong_1_025.py', 'wrong_1_093.py', 'wrong_1_525.py', 'wrong_1_509.py', 'wrong_1_128.py', 'wrong_1_481.py', 'wrong_1_220.py', 'wrong_1_554.py', 'wrong_1_428.py', 'wrong_1_472.py', 'wrong_1_155.py', 'wrong_1_493.py', 'wrong_1_161.py', 'wrong_1_160.py', 'wrong_1_540.py', 'wrong_1_303.py', 'wrong_1_341.py', 'wrong_1_127.py', 'wrong_1_021.py', 'wrong_1_100.py', 'wrong_1_482.py', 'wrong_1_301.py', 'wrong_1_336.py', 'wrong_1_429.py', 'wrong_1_495.py', 'wrong_1_274.py', 'wrong_1_129.py', 'wrong_1_114.py', 'wrong_1_316.py', 'wrong_1_214.py', 'wrong_1_201.py', 'wrong_1_056.py', 'wrong_1_139.py', 'wrong_1_304.py', 'wrong_1_518.py', 'wrong_1_051.py', 'wrong_1_565.py', 'wrong_1_053.py', 'wrong_1_522.py', 'wrong_1_200.py', 'wrong_1_178.py', 'wrong_1_027.py', 'wrong_1_237.py', 'wrong_1_499.py', 'wrong_1_226.py', 'wrong_1_235.py', 'wrong_1_430.py', 'wrong_1_302.py', 'wrong_1_524.py', 'wrong_1_527.py', 'wrong_1_423.py', 'wrong_1_067.py', 'wrong_1_097.py', 'wrong_1_058.py', 'wrong_1_227.py', 'wrong_1_133.py', 'wrong_1_068.py', 'wrong_1_073.py', 'wrong_1_130.py', 'wrong_1_528.py', 'wrong_1_480.py', 'wrong_1_470.py', 'wrong_1_267.py', 'wrong_1_345.py', 'wrong_1_031.py', 'wrong_1_425.py', 'wrong_1_026.py', 'wrong_1_134.py', 'wrong_1_076.py', 'wrong_1_555.py', 'wrong_1_343.py', 'wrong_1_340.py', 'wrong_1_402.py', 'wrong_1_098.py', 'wrong_1_103.py', 'wrong_1_432.py', 'wrong_1_115.py', 'wrong_1_234.py']",273,575,1
T_O_NDS_semticfixed_q2.py,0.8594771241830066,"['wrong_2_317.py', 'wrong_2_188.py', 'wrong_2_172.py', 'wrong_2_181.py', 'wrong_2_142.py', 'wrong_2_180.py', 'wrong_2_116.py', 'wrong_2_179.py', 'wrong_2_075.py', 'wrong_2_131.py', 'wrong_2_121.py', 'wrong_2_002.py', 'wrong_2_183.py', 'wrong_2_003.py', 'wrong_2_135.py', 'wrong_2_019.py', 'wrong_2_243.py', 'wrong_2_435.py', 'wrong_2_320.py', 'wrong_2_388.py', 'wrong_2_297.py', 'wrong_2_189.py', 'wrong_2_073.py', 'wrong_2_120.py', 'wrong_2_159.py', 'wrong_2_091.py', 'wrong_2_020.py', 'wrong_2_164.py', 'wrong_2_134.py', 'wrong_2_399.py', 'wrong_2_137.py', 'wrong_2_416.py', 'wrong_2_406.py', 'wrong_2_182.py', 'wrong_2_171.py', 'wrong_2_185.py', 'wrong_2_283.py', 'wrong_2_362.py', 'wrong_2_136.py', 'wrong_2_173.py', 'wrong_2_046.py', 'wrong_2_140.py', 'wrong_2_361.py']",263,435,1
T_O_NDS_semticfixed_q3.py,0.904,"['wrong_3_246.py', 'wrong_3_244.py', 'wrong_3_276.py', 'wrong_3_278.py', 'wrong_3_277.py', 'wrong_3_171.py', 'wrong_3_005.py', 'wrong_3_021.py', 'wrong_3_127.py', 'wrong_3_065.py', 'wrong_3_202.py', 'wrong_3_108.py']",113,288,1
T_O_NDS_semticfixed_q4.py,0.8042328042328042,"['wrong_4_338.py', 'wrong_4_227.py', 'wrong_4_206.py', 'wrong_4_271.py', 'wrong_4_352.py', 'wrong_4_192.py', 'wrong_4_052.py', 'wrong_4_057.py', 'wrong_4_205.py', 'wrong_4_270.py', 'wrong_4_336.py', 'wrong_4_204.py', 'wrong_4_016.py', 'wrong_4_220.py', 'wrong_4_114.py', 'wrong_4_060.py', 'wrong_4_077.py', 'wrong_4_351.py', 'wrong_4_350.py', 'wrong_4_056.py', 'wrong_4_337.py', 'wrong_4_059.py', 'wrong_4_219.py', 'wrong_4_009.py', 'wrong_4_115.py', 'wrong_4_101.py', 'wrong_4_113.py', 'wrong_4_232.py', 'wrong_4_187.py', 'wrong_4_272.py', 'wrong_4_039.py', 'wrong_4_176.py', 'wrong_4_045.py', 'wrong_4_012.py', 'wrong_4_145.py', 'wrong_4_231.py', 'wrong_4_026.py']",152,304,1
T_O_NDS_semticfixed_q5.py,0.8947368421052632,"['wrong_5_036.py', 'wrong_5_034.py', 'wrong_5_006.py', 'wrong_5_057.py', 'wrong_5_035.py', 'wrong_5_030.py']",51,108,1
